# Server version 0.08 running on 192.168.0.104:8123
# Game ID: 165
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 00:27:14 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260629223', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260629223
PIT 0 17
PIT 1 23
PIT 0 20
PIT 1 20
PIT 0 7
PIT 1 14
PIT 0 16
PIT 1 22
PIT 0 1
PIT 1 17
PIT 0 26
PIT 1 25
PIT 0 13
PIT 1 15
PIT 0 22
PIT 1 14
PIT 0 5
PIT 1 23
GAMEOVER WINNER 1
# Game ended: Tue Apr 05 00:27:14 EDT 2016
